2217661,1853,2,Mercer Island Youth and Family Services,*Main Site - Mercer Island Youth and Family Services,2040 84th Ave SE,,Mercer Island,98040,http://mercergov.org/yfs,JobLink,http://www.mercergov.org/Page.asp?NavID=303,JobLink,Makes connections primarily between young job seekers and local business and residents offering employment opportunities. Maintains public job posting boards. Serves youth living on Mercer Island.,Makes connections primarily between young job seekers and local business and residents offering employment opportunities. Maintains public job posting boards. Serves youth living on Mercer Island.,Makes connections primarily between young job seekers and local business and residents offering employment opportunities. Maintains public job posting boards. Serves youth living on Mercer Island.,@&,^Employment & Job Training
2217662,1853,3,Mercer Island Youth and Family Services,*Main Site - Mercer Island Youth and Family Services,2040 84th Ave SE,,Mercer Island,98040,http://mercergov.org/yfs,Juvenile Diversion Program,http://www.mercergov.org/Page.asp?NavID=302,Juvenile Diversion Program,NULL,Provides alternatives to court or jail for juvenile offenders; community service restitution assignment.,Provides alternatives to court or jail for Mercer Island youth involved with the juvenile justice system.; community service restitution assignment.,@&,^Legal Services & Youth Rights
2217664,1853,5,Mercer Island Youth and Family Services,*Main Site - Mercer Island Youth and Family Services,2040 84th Ave SE,,Mercer Island,98040,http://mercergov.org/yfs,School-Based Services,http://www.mercergov.org/Page.asp?NavID=296,School-Based Services,"Provides substance abuse services at the high school and middle school on Mercer Island. Substance abuse services include prevention, education, intervention and assessment and referral.",Offers services in Mercer Island public schools ranging from counseling to classroom presentations and skills training.,"Offers a variety of services, including mental health and substance abuse prevention and intervention.  Located in Mercer Island public schools. Services include confidential school-based counseling, alcohol/drug interventions and referral, life skills training and crisis intervention. There is a full-time counselor available in each public school.",&Mercer Island School-Based Services,^Alcohol & Drugs;^Counseling
2217665,1853,6,Mercer Island Youth and Family Services,*Main Site - Mercer Island Youth and Family Services,2040 84th Ave SE,,Mercer Island,98040,http://mercergov.org/yfs,Youth Development Program,http://www.mercergov.org/Page.asp?NavID=332,Youth Development Program,NULL,Provides summer volunteer community opportunities for middle and high school-aged Mercer Island high school youth; school-year activities also available. Apply in the spring. Materials and transportation fees vary.,Provides summer volunteer community opportunities for middle and high school-aged Mercer Island high school youth; school-year activities also available. Apply in the spring. Materials and transportation fees vary.,@&,^Leadership & Volunteer Opportunities
2217677,5511,5,Peace for the Streets by Kids from the Streets,*Main Site - Peace for the Streets by Kids from the Streets,1609 19th Ave,,Seattle,98122,http://psks.org,LEAP - Lasting Employment Advancement Program,NULL,LEAP - Lasting Employment Advancement Program,"Provides youth work experience and personal responsibility through agency internships, with job placement for successful interns; additionally offers money management workshops. Serves youth, ages 25 and younger.","Provides youth work experience and personal responsibility through agency internships, with job placement for successful interns; additionally offers money management workshops. Serves youth, ages 25 and younger.","Provides youth work experience and personal responsibility through agency internships, with job placement for successful interns; additionally offers money management workshops. Interns must work on personal goals, such as obtaining housing or identification cards, to demonstrate responsibility. Youth may be placed in community internships or entry-level jobs. Serves youth, ages 25 and younger.",@&,^Employment & Job Training
2217678,5511,6,Peace for the Streets by Kids from the Streets,*Main Site - Peace for the Streets by Kids from the Streets,1609 19th Ave,,Seattle,98122,http://psks.org,Case Management,NULL,Case Management,NULL,"Provides case management for homeless and street-involved youth, ages 25 and younger.","Provides case management for homeless and street-involved youth, ages 26 and younger. Primarily serves at-risk youth and young adults not currently served by other agencies. Program also provides services at Lambert House.",&Stepping Stones Homeless Case Management,"^Homelessness & Runaways, Other Helpful Services"
2217690,10378,2,Crisis Clinic,*Main Site - Crisis Clinic - Business Office,9725 3rd Ave NE,Suite 300,Seattle,98115,http://crisisclinic.org,24-Hour Crisis Line,http://crisisclinic.org/find-help/crisis-line/?doing_wp_cron=1386360434.4891059398651123046875,24-Hour Crisis Line,"Operates a telephone access point for all those in King County experiencing an emotional crisis. Offers emotional support, community resource information and referrals; provides screening for outreach and involuntary commitment.","Operates a telephone access point for all those in King County experiencing an emotional crisis. Offers emotional support, community resource information and referrals; provides screening for outreach and involuntary commitment.","Trained volunteer phone workers assist callers in personal crises by offering emotional support, community resource information and referral. Also provides screening for some mental health programs. Services are confidential. Residents of King County only.",@&,^Counseling;^Don't Map This Resource;^Suicide
2217692,10378,5,Crisis Clinic,*Main Site - Crisis Clinic - Business Office,9725 3rd Ave NE,Suite 300,Seattle,98115,http://crisisclinic.org,Survivors of Suicide,http://crisisclinic.org/find-help/survivors-of-suicide-support/,Survivors of Suicide,"Provides professional support and counseling for adult families and friends of someone who has completed suicide. Groups are designed to address the feelings of guilt, grief, shame, isolation or confusion commonly experienced by survivors.",Offers support and counseling to adult families and friends of someone who has completed suicide.,Offers confidential support groups and counseling to adult families and friends of someone who has completed suicide.,&Survivors of Suicide Support Groups,^Suicide
2217696,10378,1,Crisis Clinic,Crisis Clinic - King County 2-1-1,9725 3rd Ave NE,Suite 300,Seattle,98115,http://crisisclinic.org,King County 2-1-1,http://crisisclinic.org/find-help/2-1-1-resources-and-information/,King County 2-1-1, ,"Provides problem-solving, advocacy and referral to appropriate social and health services; provides Homeless Donation service.","Provides information and referrals to appropriate social and health services in King County and is the designated central screening and referral point for free/low-cost civil legal services as well as emergency housing in King County. Provides referrals for issues such as basic needs, legal aid, and education assistance.",@&,"^Don't Map This Resource;^Homelessness & Runaways, Other Helpful Services;^Legal Services & Youth Rights"
2217700,10378,12,Crisis Clinic,Crisis Clinic - King County 2-1-1,9725 3rd Ave NE,Suite 300,Seattle,98115,http://crisisclinic.org,Disability Information and Assistance Program,http://crisisclinic.org/find-help/2-1-1-resources-and-information/disability-resources/,Disability Information and Assistance Program,"In-house Disability Programs Specialist assists adult callers who reside in King County and need more in-depth assistance, or who have a more complex situation related to their disability.","Provides information, referral, and outreach to people with disabilities and the community agencies that support and serve them.","Helps callers identify and clarify needs, as well as locate resources and find support related to their disability. Provides information, referral, and outreach to people with disabilities and the community agencies that serve them. Serves King County residents age 18 and older.",@&,^Don't Map This Resource;^People with Disabilities
